;subject;stim;session;block;frame_rate;trial_nb;target;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT
95;S08;A;pre;1;59.86260335887241;90;noise;;['right'];0.4196972000063397;0;1.917
96;S08;A;pre;1;59.86260335887241;96;noise;;['left'];0.640053800016176;0;1.04
97;S08;A;pre;1;59.86260335887241;13;a;right;['right'];0.41746209998382255;0;1.019
98;S08;A;pre;1;59.86260335887241;2;a;right;['right'];0.2335000999737531;0;0.843
99;S08;A;pre;1;59.86260335887241;3;a;right;['right'];0.18149689998244867;0;0.873
100;S08;A;pre;2;59.86260335887241;78;e;left;['right'];0.22095049999188632;0;0.79
101;S08;A;pre;2;59.86260335887241;12;a;right;['right'];0.2169957000296563;0;1.468
102;S08;A;pre;2;59.86260335887241;28;a;right;['right'];0.22781200002646074;0;0.689
103;S08;A;pre;2;59.86260335887241;8;a;right;['right'];0.15956719999667257;0;0.881
104;S08;A;pre;2;59.86260335887241;49;e;left;['right'];0.17580019996967167;1;0.823
105;S08;A;pre;2;59.86260335887241;99;noise;;['right'];0.48482379998313263;0;0.706
106;S08;A;pre;2;59.86260335887241;36;a;right;['right'];0.1956402999931015;1;1.935
107;S08;A;pre;2;59.86260335887241;42;e;left;['right'];0.17888839996885508;1;0.831
108;S08;A;pre;2;59.86260335887241;92;noise;;['right'];0.3590667999815196;0;0.919
109;S08;A;pre;2;59.86260335887241;59;e;left;['left'];0.15810199995758012;1;0.854
110;S08;A;pre;2;59.86260335887241;16;a;right;['right'];0.16381890000775456;1;0.892
111;S08;A;pre;2;59.86260335887241;84;noise;;['right'];0.2319427999900654;0;1.285
112;S08;A;pre;2;59.86260335887241;13;a;right;['right'];0.15079350001178682;1;0.826
113;S08;A;pre;2;59.86260335887241;4;a;right;['right'];0.1855782000347972;1;0.954
114;S08;A;pre;2;59.86260335887241;90;noise;;['left'];0.7626376000116579;0;0.766
115;S08;A;pre;2;59.86260335887241;57;e;left;['right'];0.19822560000466183;1;0.739
116;S08;A;pre;2;59.86260335887241;63;e;left;['right'];0.12613400002010167;1;2.185
117;S08;A;pre;2;59.86260335887241;65;e;left;['right'];0.16967600001953542;1;0.786
118;S08;A;pre;2;59.86260335887241;22;a;right;['right'];0.2110192999825813;1;0.756
119;S08;A;pre;2;59.86260335887241;68;e;left;['right'];0.15881170000648126;1;1.671
120;S08;A;pre;2;59.86260335887241;43;e;left;['right'];0.1675668999669142;1;1.197
121;S08;A;pre;2;59.86260335887241;60;e;left;['right'];0.1773037000093609;1;0.848
