;subject;stim;session;block;frame_rate;trial_nb;target;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT
83;s03bis;A;pre;1;60.08138626403041;78;e;left;['right'];0.3623854999896139;1;0.904
84;s03bis;A;pre;1;60.08138626403041;39;a;right;['left'];0.4613768000854179;1;1.51
85;s03bis;A;pre;1;60.08138626403041;19;a;right;['right'];0.1978487999876961;1;0.747
86;s03bis;A;pre;1;60.08138626403041;21;a;right;['left'];0.24818979995325208;1;1.722
87;s03bis;A;pre;1;60.08138626403041;99;noise;;['left'];1.4765219000400975;0;1.191
88;s03bis;A;pre;1;60.08138626403041;76;e;left;['left'];0.5359288998879492;1;0.782
89;s03bis;A;pre;1;60.08138626403041;46;e;left;['right'];0.19066119997296482;1;0.671
90;s03bis;A;pre;1;60.08138626403041;93;noise;;['right'];0.6882573999464512;0;1.221
91;s03bis;A;pre;1;60.08138626403041;27;a;right;['right'];0.5957539000082761;1;0.981
92;s03bis;A;pre;1;60.08138626403041;3;a;right;['left'];0.4092003999976441;1;0.866
93;s03bis;A;pre;1;60.08138626403041;31;a;right;['right'];0.3135206000879407;1;0.752
94;s03bis;A;pre;1;60.08138626403041;42;e;left;['left'];0.30118010006845;1;0.974
95;s03bis;A;pre;1;60.08138626403041;6;a;right;['right'];0.24596749991178513;1;0.874
96;s03bis;A;pre;1;60.08138626403041;25;a;right;['left'];0.5786215000553057;1;0.808
97;s03bis;A;pre;1;60.08138626403041;67;e;left;['right'];0.3947588000446558;1;0.812
98;s03bis;A;pre;1;60.08138626403041;18;a;right;['left'];0.1746383000863716;1;0.725
99;s03bis;A;pre;1;60.08138626403041;26;a;right;['right'];0.26518680003937334;1;2.146
100;s03bis;A;pre;2;60.08138626403041;41;e;left;['left'];0.20380500005558133;1;0.612
101;s03bis;A;pre;2;60.08138626403041;10;a;right;['right'];0.17805559991393238;0;0.829
102;s03bis;A;pre;2;60.08138626403041;39;a;right;['right'];1.7059070999966934;1;0.82
103;s03bis;A;pre;2;60.08138626403041;45;e;left;['left'];0.19158310000784695;1;0.724
