;null_trials;SOA;contrast;subj_response;obj_response
121;0;3;0.8599999999999999;1;1
122;0;3;0.8399999999999999;0;0
123;0;3;0.8599999999999999;1;1
124;0;3;0.8399999999999999;1;1
125;0;3;0.8199999999999998;1;0
126;0;3;0.8399999999999999;0;0
127;0;3;0.8599999999999999;1;1
128;0;3;0.8399999999999999;1;1
129;0;3;0.8199999999999998;0;0
130;0;3;0.8399999999999999;0;0
131;0;3;0.8599999999999999;0;0
132;0;3;0.8799999999999999;1;0
133;0;3;0.8999999999999999;0;1
134;0;3;0.9199999999999999;0;0
135;0;3;0.94;1;1
136;0;3;0.9199999999999999;1;0
137;0;3;0.94;1;1
138;0;3;0.9199999999999999;1;1
139;0;3;0.8999999999999999;1;1
140;0;3;0.8799999999999999;1;1
141;0;3;0.8599999999999999;1;1
142;0;3;0.8399999999999999;1;1
143;0;3;0.8199999999999998;1;1
144;0;3;0.7999999999999998;0;0
145;0;3;0.8199999999999998;1;1
146;0;3;0.7999999999999998;1;1
147;0;3;0.7799999999999998;0;0
148;0;3;0.7999999999999998;1;1
149;0;3;0.7799999999999998;1;1
150;0;3;0.7599999999999998;0;1
151;1;3;0.7799999999999998;0;1
152;0;3;0.7999999999999998;1;1
153;0;3;0.7799999999999998;0;1
154;0;3;0.7999999999999998;1;1
155;0;3;0.7799999999999998;0;0
156;0;3;0.7999999999999998;1;1
157;0;3;0.7799999999999998;0;1
158;0;3;0.7999999999999998;1;1
159;0;3;0.7799999999999998;0;0
160;0;3;0.7999999999999998;1;1
161;0;3;0.7799999999999998;1;1
162;0;3;0.7599999999999998;0;0
163;0;3;0.7799999999999998;0;1
164;1;3;0.7999999999999998;0;1
165;1;3;0.8199999999999998;0;0
166;0;3;0.8399999999999999;1;1
167;0;3;0.8199999999999998;1;1
168;0;3;0.7999999999999998;0;1
169;0;3;0.8199999999999998;1;1
170;0;3;0.7999999999999998;1;1
171;0;3;0.7799999999999998;0;0
172;0;3;0.7999999999999998;0;0
